Name,ALMA_1a,ALMA_1b,ALMA_1c,ALMA_1d,ALMA_2a,ALMA_2b,ALMA_2c,ALMA_2d,ALMA_3a,ALMA_3b,ALMA_3c,ALMA_3d,ALMA_4a,ALMA_4b,ALMA_4c,ALMA_4d,ALMA_5a,ALMA_5b,ALMA_5c,ALMA_5d,ALMA_6a,ALMA_6b,ALMA_6c,ALMA_6d,ALMA_8a,ALMA_8b,LB_1a,LB_1b,LB_1c,LB_1d,Lomas_Bayas_3a,Lomas_Bayas_3b,Lomas_Bayas_3c,CAB_2a,CAB_2b,CAB_2c,CAB_2d,CAB_3b,CAB_3c,Y6-2a_,Y6-2b_,Y6-2c_,Y6-2d_,Y6-30a,Y6-30b,Y6-30c,Y6-30d,Y6-100a,Y6-100b,Y6-100c,Y6-100d,Chaxa_1-2a,Chaxa_1-2b,Chaxa_1-2c,Chaxa_1-2d,Chaxa_1-30a,Chaxa_1-30b,Chaxa_1-30c,Chaxa_1-30d,Chaxa_cyano_a,Chaxa_cyano_b,Chaxa_cyano_c,Chaxa_cyano_d,LM_1a,LM_1b,LM_1c,LM_1d,LM_2a,LM_2b,LM_2c,LM_2d,POP_1d,POP_2a,POP_2b,POP_2c,POP_2d,VDL_a,VDL_b,VDL_c,VDL_d,Y2a,Y2b,Y2c,Y2d
Microbispora,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,6,0,0,0,0,44,0,19,10,0,10,22,1,0,8,10,11,0,0,6,3,0,0,0,0,0,0,0,0,5,1,0,9,12,0,12,46,23,0,0,0,0
Marmoricola,2,1,1,1,5,0,0,3,26,17,3,5,7,6,3,1,0,1,9,1,2,1,1,0,0,0,2,1,1,1,0,6,3,7,1,1,5,0,0,0,1,2,5,0,0,0,0,26,1,0,0,4,1,11,8,0,6,8,9,1,9,10,0,0,0,0,0,0,0,0,0,12,0,0,7,7,0,3,2,1,0,1,1,1
Salinibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,50,57,37,83,0,0,0,0,0,0,0,0,0,0,0,0,0
Couchioplanes,14,7,4,11,7,0,0,4,0,1,1,4,3,1,1,0,2,5,2,0,1,7,1,1,0,0,0,3,0,4,0,3,2,7,0,3,2,0,0,0,1,0,1,0,0,0,0,11,0,31,1,3,8,10,1,0,0,5,14,0,6,11,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,2,8,4,0,0,0,0
Dietzia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,49,8,0,0,0,0,0,0,1,0,0,0,0,0,3,3,2,1,2,2,1,2,9,0,0,51,40,0,0,0,0,0,2,2,0
Aquihabitans,1,0,0,0,2,22,0,1,5,3,1,0,7,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,2,2,0,0,0,2,0,5,0,0,2,0,12,0,5,3,1,0,1,2,0,74,11,20,9,1,1,0,1,0,0,0,0,0,0,1,2,3,0,1,0,0
EU335288_g,3,0,0,0,18,4,2,6,0,0,0,0,18,8,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,2,0,1,0,0,0,1,2,3,7,0,0,1,0,7,0,9,0,0,15,4,8,0,12,14,15,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,5,6,0,0,0,0
JF319263_g,0,0,0,0,0,0,0,4,0,0,0,0,7,8,11,10,0,0,3,0,0,3,9,2,13,31,1,1,0,3,0,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,17,0,0,7,5,2,0,11,5,6,0,2,10,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,5,0,0,0,0
Agromyces,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,13,0,0,0,0,0,0,0,1,10,71,33,36
Quadrisphaera,6,12,3,16,0,0,2,0,15,3,0,1,0,0,0,1,2,6,7,4,3,0,1,3,3,1,0,1,4,7,1,3,1,8,1,1,2,0,0,0,0,1,0,0,0,0,0,8,0,0,1,4,3,2,2,0,6,0,7,0,5,4,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,5,2,6,0,0,0,0
Kineococcus,2,2,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,2,2,0,2,0,3,9,0,0,2,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,13,78,17,23
Flindersiella,0,0,1,4,16,7,1,0,19,16,8,6,7,2,2,3,1,1,2,1,0,4,0,0,1,0,0,0,2,0,0,0,4,3,0,0,1,0,0,0,1,2,3,0,0,0,0,0,4,1,1,2,3,3,3,0,4,0,10,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,7,0,0,0,0
Propionibacterium,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,15,7,0,0,1,2,0,9,1,0,0,3,0,1,0,0,0,0,0,0,0,0,16,2,0,23,1,1,20,20,16,0,0,0,0
Dactylosporangium,1,0,4,8,8,7,5,13,1,0,1,0,4,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,1,2,6,23,0,7,3,0,4,0,0,6,6,2,1,3,4,0,0,0,0,1,0,0,0,0,0,0,4,7,0,0,2,3,0,0,0,0
Georgenia,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,1,1,0,0,0,1,0,0,0,0,0,16,60,19,22
EF516593_g,0,3,2,0,0,3,14,4,2,4,0,2,6,1,0,7,1,1,1,0,0,1,0,4,0,1,1,0,1,1,1,6,3,1,0,0,0,0,0,1,6,2,2,1,5,1,1,1,0,8,0,0,0,4,1,0,3,0,3,0,2,6,1,0,1,0,0,0,0,0,0,0,2,3,0,5,2,1,0,2,0,0,0,0
Actinomycetospora,2,0,1,3,1,0,0,0,6,4,10,12,1,0,2,2,3,1,1,2,3,1,3,2,2,0,0,1,1,1,0,2,0,3,0,2,2,0,0,0,0,3,1,0,0,0,0,12,0,0,0,5,2,3,3,0,2,7,6,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,4,0,0,0,0
Marisediminicola,0,0,0,0,1,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,4,23,26,13,30,0,0,0,2,0,0,0,2,2,0,0,0,0
Aeromicrobium,1,1,0,5,7,0,4,1,2,0,0,0,1,4,2,1,2,0,1,0,1,5,6,1,1,3,1,1,0,2,0,0,3,4,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,1,0,4,2,2,1,0,5,5,7,0,1,1,0,0,0,0,1,0,0,0,0,8,0,0,1,0,0,7,1,5,1,5,6,0
Herbiconiux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,14,8,16,11,0,0,0,0,0,0,0,0,0,11,27,8,9
Lentzea,1,0,1,4,13,3,14,22,0,0,0,0,1,0,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,14,2,0,1,0,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,4,0,0,3,2,0,0,0,0
Aquiluna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,7,27,24,26,33,0,0,0,0,0,0,0,0,0,1,0,0,0
EF016800_g,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,8,0,0,39,43,0,0,0,2,0,0,0,2,2,0,0,0,2,0,0,3,11,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Angustibacter,0,1,8,3,0,18,0,9,0,4,0,0,2,1,0,0,0,1,0,0,2,0,7,0,7,15,0,0,4,0,0,0,2,1,0,0,0,1,0,0,1,1,2,0,0,0,0,3,2,12,0,0,3,4,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
EF451703_g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,27,32,0,0,0,2,1,1,6,0,0,0,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,2,0,0,0,9,1,0,4,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,5,0,0,0,0
FJ479147_f_uc,0,0,1,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,4,1,0,2,0,0,0,0,0,12,8,2,0,5,1,3,6,0,0,13,0,0,0,1,1,2,2,1,2,5,0,0,7,0,2,0,0,1,0,0,0,0,4,14,1,2,5,0,0,3,0,0,0,0
GQ387490_g,3,2,0,0,5,3,2,2,7,0,0,0,2,0,0,1,3,0,0,2,1,0,3,1,1,1,0,1,0,0,0,0,0,7,0,1,1,0,0,0,0,3,0,0,0,1,1,2,0,15,0,6,0,0,0,0,0,1,2,0,5,2,0,2,0,2,0,9,5,2,5,0,0,0,5,0,1,0,0,2,0,0,0,0
EF076187_g,2,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,48,12,29,6,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Frondihabitans,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,1,0,0,0,2,0,1,3,0,0,0,20,0,5,3,1,0,0,0,1,0,0,0,0,0,8,0,0,6,12,0,4,2,0,5,3,2,0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1,0,0,0,0,0
EU861937_g,0,0,0,0,0,0,0,0,1,0,18,13,1,4,9,2,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,3,0,2,3,1,0,0,12,4,0,0,1,4,0,0,0,0,0,0,0,0,9,0,0,5,0,0,1,0,3,0,0,0,0
EF127609_g,3,0,4,2,0,0,0,0,2,6,0,2,0,4,6,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,1,1,0,0,0,1,0,2,10,0,13,0,1,0,2,2,0,10,1,0,0,2,2,0,0,0,0,1,0,0,0,0,0,1,1,3,7,0,0,4,2,0,0,0,0
EF516411_g,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,2,0,4,1,0,0,0,2,0,0,1,0,0,0,0,0,2,0,2,0,0,0,4,1,0,0,0,0,0,4,4,0,0,0,1,8,1,0,0,1,21,4,9,5,0,0,1,1,0,0,2,0,0,0,1,15,0,0,0,0,0
Phytohabitans,0,0,1,0,7,3,6,9,1,1,3,0,4,7,3,8,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,4,0,2,0,1,0,2,3,0,4,7,8,0,0,1,2,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,2,0,0,0,0
Actinomyces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,8,3,26,1,0,2,0,0,0,3,0,0,0,0,1,0,3,1,0,0,1,3,1,3,30,0,0,3,2,0,0,0,0,0,1,0,0
Tetrasphaera,1,0,0,3,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,3,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,0,0,1,2,0,0,0,2,0,14,0,0,1,0,2,0,0,0,1,5,5,1,20,0,0,0,0,0,0,0,0,0,0,0,0
Micrococcus,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,0,1,3,0,0,0,0,44,0,0,1,1,0,0,0,0,0,0,0,0,16,0,0,0,9,0,5,0,8,0,0,0,0
Xiangella,2,2,0,5,4,5,3,1,3,10,1,5,0,1,0,2,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,2,0,0,0,0,2,3,0,0,0,0,5,0,0,0,0,2,2,0,0,2,4,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,7,4,0,2,0,3,0,0,0,0
EU861909_g,2,1,3,10,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,2,0,0,3,1,0,1,0,5,0,0,2,0,11,1,0,1,0,0,0,0,0,2,0,0,0,0,6,1,0,0,7,0,0,1,0,0,0,1,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,8,0,0,0,0
EU644212_g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,16,22,14,33,0,0,0,0,0,0,0,0,0,0,0,0,0
Nocardia,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,1,1,2,0,2,1,0,1,0,0,3,1,0,0,0,0,1,0,9,3,0,0,0,0,0,0,1,2,0,0,1,0,24,0,0,1,0,0,0,0,3,0,0,2,1,0,0,12,3,1,1,0,0
Actinophytocola,0,0,0,1,19,0,6,6,0,1,3,0,7,7,6,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,2,0,1,3,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Leifsonia,0,0,0,0,0,0,0,0,4,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,3,9,10,8,0,0,0,0,0,0,0,0,0,1,25,6,6
FJ479034_g,0,0,0,0,0,1,2,0,0,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,1,0,0,2,2,1,4,0,0,24,2,0,0,1,1,1,4,0,7,3,0,0,3,0,0,0,0,0,0,0,0,0,2,3,3,0,5,0,0,1,0,0,0,0
Acidimicrobiaceae_uc,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,3,4,0,1,4,1,3,4,0,0,5,0,1,0,3,0,1,4,0,3,1,0,1,2,1,1,0,0,0,1,0,0,0,3,8,2,0,5,0,0,1,0,2,0,0
Promicromonospora,0,1,0,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,1,2,0,0,2,0,0,0,0,0
DQ395423_g,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,3,1,5,1,0,0,3,1,0,0,1,1,3,1,2,0,0,0,1,3,5,2,0,2,1,5,0,3,6,3,1,0,0,1,0,3,4,2,0,1,1,0,8,1,0,0,0,0,0,0,0
Homoserinimonas,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,2,0,4,34,9,10
EU735662_g,0,0,1,3,0,1,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,1,4,2,7,9,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,8,0,0,0,0,0,0,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,0,0,0
AY234742_g,1,1,0,0,0,2,1,1,2,0,1,2,0,0,8,4,0,2,1,4,0,1,1,0,0,0,0,1,0,0,1,2,1,8,0,2,1,0,0,6,0,0,0,1,0,0,1,2,0,0,2,0,3,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,1,3,0,6,0,0,0,0
Catellatospora,0,0,1,0,5,4,8,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,4,1,0,4,0,10,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
FN554394_g,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,36,3,17,1,0,1,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0
Nocardioidaceae_uc,0,0,0,1,0,3,2,0,2,1,1,0,2,1,2,1,0,2,1,0,0,0,1,0,0,0,1,1,0,1,2,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,2,10,0,5,0,2,0,8,0,0,5,3,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,4,0,0,1,0,0
Pseudosporangium,0,0,0,0,3,0,9,7,2,0,1,1,0,1,0,0,0,0,2,1,0,0,0,0,0,1,3,0,0,2,0,0,1,0,0,0,1,0,0,0,0,3,2,0,0,0,0,5,0,0,0,2,2,0,0,0,11,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,8,0,0,0,0,0
Actinomadura,0,0,5,2,4,0,7,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,3,2,1,4,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,3,11,0,2,0,3,0,0,0,0
Catenuloplanes,0,0,0,0,0,0,2,0,0,1,5,18,0,0,6,6,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,0,0,0,0,0,0,0,0,0
OM27_f_uc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,20,8,18,24,0,0,0,0,0,0,0,0,0,0,0,0,0
Geodermatophilaceae_uc,0,0,1,0,4,1,6,2,0,1,3,2,1,0,1,0,2,0,1,1,1,1,2,0,0,0,0,0,0,1,0,0,3,4,0,1,0,0,0,2,3,0,1,0,0,0,0,2,0,0,2,2,0,6,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,6,2,0,0,0,0
EU753662_g,0,1,0,0,5,0,0,4,0,0,1,0,0,4,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,4,0,1,0,0,0,3,1,3,0,1,0,2,0,1,0,0,4,0,1,1,0,1,0,1,2,2,4,4,1,6,0,2,0,1,1,2,0,0,0,1,0,1,2,0,0,0,0,0,1,0
EF127613_g,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,3,0,1,0,0,0,2,2,7,1,0,2,2,1,6,3,0,0,0,1,0,0,2,2,3,1,0,1,5,0,0,0,1,0,0,0,0,0,0,1,1,0,2,3,0,0,1,0,0,0,0
Cellulosimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,20,9,18
Phycicoccus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,6,2,0,8,11,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,6,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,1,0,0,0
Micromonosporaceae_uc,2,0,0,0,2,0,0,0,0,1,0,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,2,0,0,1,4,1,4,0,3,1,0,1,0,0,3,0,0,1,0,1,1,0,4,0,0,1,0,0,0,0,0,1,1,1,2,0,4,2,0,0,0,1,0,0
Actinoallomurus,0,0,0,0,1,0,0,2,0,1,1,8,0,2,8,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,4,7,3,0,0,4,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
GQ088405_g,1,0,1,0,0,5,1,0,1,0,2,3,8,2,2,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,2,4,2,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,0,0,0,0,0,0
Pseudonocardiaceae_uc,0,0,0,0,2,2,2,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,6,2,6,0,5,3,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,3,0,3,3,0,0,1,0,0
DQ413131_g,0,0,4,0,5,0,0,0,13,2,0,1,5,2,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,5,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
